,1rd_red, 1rd_green, 1rd_blue, 1rd_r, 1rd_rg, 1rd_size, 2nd_red, 2nd_green, 2nd_blue, 2rd_r, 2rd_rg, 2nd_size, 3rd_red, 3rd_green, 3rd_blue, 3rd_r, 3rd_rg, 3rd_size, 4th_red, 4th_green, 4th_blue, 4rd_r, 4rd_rg, 4th_size, 5th_red, 5th_green, 5th_blue, 5rd_r, 5rd_rg, 5th_size, 6th_red, 6th_green, 6th_blue, 6rd_r, 6rd_rg, 6th_size, height/area
0,179.65,88.19,43.24,48.22,224.6,10981,141.68,32.8,45.73,63.15,128.75,10157,149.8,26.78,41.15,81.87,135.43,10081,168.14,36.24,49.68,82.22,154.7,10328,173.14,60.99,37.2,74.95,196.93,10264,153.59,41.23,39.23,73.13,155.59,10156,0.92487023039796
1,175.5,118.55,66.91,-9.96,227.14,11926,119.29,38.01,51.21,30.07,106.09,11787,117.79,29.83,42.41,45.55,105.21,11222,129.69,37.26,50.61,41.82,116.34,11350,174.57,79.82,58.37,36.38,196.02,10948,148.2,55.01,47.1,46.09,156.11,11417,0.9573201408686902
2,176.79,100.93,54.04,21.82,223.68,12153,136.82,39.15,49.96,47.71,126.01,11564,111.15,24.13,42.75,44.27,92.53,12272,126.25,34.55,46.45,45.25,114.35,11456,179.41,72.03,41.34,66.04,210.1,12173,160.67,59.33,42.09,59.25,177.91,11697,0.9624784003949642
3,185.79,169.31,73.35,-56.87,281.75,15137,155.54,65.98,63.87,25.69,157.65,15027,176.64,73.79,56.21,46.64,194.22,14726,169.77,80.17,54.21,35.39,195.73,14344,180.11,121.86,62.45,-4.2,239.52,14778,168.33,79.42,49.54,39.37,198.21,14829,0.9796525071018036
4,153.74,90.33,61.77,1.64,182.3,13290,165.26,112.35,76.17,-23.26,201.44,12905,123.48,38.28,49.5,35.7,112.26,12509,177.73,119.31,64.3,-5.88,232.74,13034,175.83,128.96,69.31,-22.44,235.48,13274,128.7,43.53,55.35,29.82,116.88,12925,0.972535741158766
5,167.94,146.39,71.25,-49.7,243.08,10603,171.73,134.72,75.62,-38.61,230.83,10390,149.39,43.89,40.74,64.76,152.54,10369,167.48,146.69,74.28,-53.49,239.89,10414,175.59,169.59,82.05,-76.05,263.13,10669,169.47,101.07,60.19,8.21,210.35,10235,0.96529284164859
6,179.79,126.52,60.61,-7.34,245.7,12882,184.88,133.94,73.19,-22.25,245.63,12319,178.26,55.49,60.3,62.47,173.45,12430,191.76,107.84,64.95,18.97,234.65,12439,197.03,116.37,66.12,14.54,247.28,12677,186.68,90.05,52.91,43.72,223.82,12693,0.9853283651606892
7,171.89,152.2,69.58,-49.89,254.51,12443,167.03,83.51,60.42,23.1,190.12,11456,159.3,49.09,48.87,61.34,159.52,10871,158.35,82.56,54.68,21.11,186.23,11701,179.34,150.02,66.27,-36.95,263.09,10543,186.88,158.18,81.96,-53.26,263.1,11700,0.9402877119665676
8,184.68,151.52,71.8,-38.64,264.4,12112,179.35,156.5,83.58,-60.73,252.27,11366,185.81,75.33,57.06,53.42,204.08,11696,200.7,135.3,78.13,-12.73,257.87,11833,204.47,177.18,92.4,-65.11,289.25,11336,203.47,157.75,87.08,-41.36,274.14,11795,0.9738276089828268
9,174.21,113.78,68.05,-7.62,219.94,11169,126.6,39.85,47.37,39.38,119.08,10839,138.16,38.35,48.18,51.63,128.33,10951,159.4,68.5,57.31,33.59,170.59,10481,167.1,91.43,55.46,20.21,203.07,10605,144.53,52.07,49.5,42.96,147.1,10733,0.9609633807861044
10,184.23,180.42,83.09,-79.28,281.56,10240,163.6,85.92,58.64,19.04,190.88,10441,179.93,103.01,59.9,17.02,223.04,10320,186.36,160.42,91.32,-65.38,255.46,10308,186.32,165.32,83.4,-62.4,268.24,10157,182.35,132.73,74.03,-24.41,241.05,10216,0.99765625
11,184.44,124.28,65.75,-5.59,242.97,12940,174.81,127.05,67.46,-19.7,234.4,12645,157.58,42.12,48.32,67.14,151.38,12920,186.15,102.53,60.55,23.07,228.13,12843,189.61,132.65,64.21,-7.25,258.05,12642,185.05,96.02,55.94,33.09,225.13,12817,0.9904945904173108
12,180.74,169.62,71.78,-60.66,278.58,11712,180.08,153.15,92.93,-66.0,240.3,11148,193.83,129.41,81.4,-16.98,241.84,10891,180.64,170.9,89.63,-79.89,261.91,11004,194.93,161.28,86.74,-53.09,269.47,11321,185.54,150.64,79.96,-45.06,256.22,11391,0.972592213114754
13,177.24,123.69,68.28,-14.73,232.65,10098,147.19,84.4,57.99,4.8,173.6,10553,133.69,40.51,43.5,49.68,130.7,10379,166.21,80.22,50.53,35.46,195.9,9983,177.71,140.42,70.09,-32.8,248.04,10039,175.43,121.95,60.7,-7.22,236.68,9887,0.9791047732224204
14,185.22,92.15,63.35,29.72,214.02,12534,181.62,161.62,77.46,-57.46,265.78,11805,174.59,59.89,58.6,56.1,175.88,11874,183.29,99.04,58.0,26.25,224.33,12325,199.63,136.27,66.69,-3.33,269.21,12185,191.74,142.07,75.51,-25.84,258.3,12439,0.9924206159246848
15,172.43,136.94,62.81,-27.32,246.56,7671,98.14,33.72,38.57,25.85,93.29,7854,123.25,33.24,41.14,48.87,115.35,7387,119.88,40.01,36.51,43.36,123.38,7148,139.46,69.52,44.29,25.65,164.69,7295,134.12,50.9,45.03,38.19,139.99,7292,0.950593143006127
16,173.0,128.79,72.49,-28.28,229.3,12871,166.55,131.07,69.27,-33.79,228.35,11992,170.41,71.14,53.37,45.9,188.18,12136,172.83,88.24,58.21,26.38,202.86,12048,177.22,98.68,63.17,15.37,212.73,12038,180.96,154.94,78.96,-52.94,256.94,12463,0.9683008313262372
17,182.69,164.69,74.45,-56.45,272.93,15506,177.33,109.12,62.24,5.97,224.21,14906,152.25,44.07,54.67,53.51,141.65,15387,166.8,84.7,54.52,27.58,196.98,15682,185.12,115.11,56.13,13.88,244.1,15402,193.7,153.51,76.1,-35.91,271.11,15633,1.0081903779182253
18,175.81,130.16,66.02,-20.37,239.95,10375,159.07,77.44,60.93,20.7,175.58,10465,143.45,32.78,42.67,68.0,133.56,9989,164.94,87.38,56.34,21.22,195.98,10194,189.94,160.35,82.07,-52.48,268.22,9845,182.21,132.97,68.35,-19.11,246.83,10037,0.967421686746988
19,176.82,142.27,78.18,-43.63,240.91,11105,163.38,100.74,58.52,4.12,205.6,10970,160.89,63.21,42.11,55.57,181.99,10375,178.73,136.75,66.64,-24.66,248.84,10609,180.84,172.7,75.18,-67.04,278.36,10487,176.07,145.77,73.8,-43.5,248.04,10537,0.9488518685276902
20,184.16,154.87,81.29,-52.0,257.74,12493,167.58,77.91,70.63,19.04,174.86,12166,150.15,48.17,45.82,56.16,152.5,11749,172.33,97.0,67.19,8.14,202.14,11764,185.18,155.89,91.75,-62.46,249.32,11791,189.39,145.09,86.71,-42.41,247.77,11851,0.9486112222844794
21,175.35,179.53,76.66,-80.84,278.22,8821,174.36,176.51,82.58,-84.73,268.29,8548,184.78,146.85,77.2,-39.27,254.43,8356,187.74,174.17,100.71,-87.14,261.2,8812,185.83,185.28,98.03,-97.48,273.08,8686,166.82,174.58,71.82,-79.58,269.58,8779,0.9952386350753882
22,178.16,133.95,74.26,-30.05,237.85,10777,169.73,163.35,80.79,-74.41,252.29,10869,178.9,128.28,74.6,-23.98,232.58,10746,183.97,138.72,78.97,-33.72,243.72,10566,192.47,162.79,86.63,-56.95,268.63,10455,189.66,164.63,87.18,-62.15,267.11,10885,1.0100213417463115
23,157.98,103.2,58.59,-3.81,202.59,10883,160.08,114.35,70.15,-24.42,204.28,11296,150.85,65.65,49.44,35.76,167.06,10725,171.58,91.98,60.67,18.93,202.89,10140,185.58,156.87,84.57,-55.86,257.88,10440,174.53,105.81,66.44,2.28,213.9,10439,0.9592024258017092
24,142.78,64.35,49.73,28.7,157.4,8795,157.92,99.7,69.43,-11.21,188.19,8975,119.91,30.27,42.06,47.58,108.12,8594,163.18,60.33,51.35,51.5,172.16,8453,174.87,93.3,60.08,21.49,208.09,8283,141.66,53.11,48.9,39.65,145.87,8316,0.945537237066515
25,164.41,115.07,56.91,-7.57,222.57,13414,161.78,125.35,60.46,-24.03,226.67,12779,153.73,57.25,38.93,57.55,172.05,12887,172.07,98.73,52.68,20.66,218.12,12871,169.19,95.6,48.31,25.28,216.48,12812,148.14,66.29,39.04,42.81,175.39,12656,0.943491874161324
26,174.84,104.7,65.33,4.81,214.21,12371,150.4,71.43,62.57,16.4,159.26,12217,114.01,31.87,47.96,34.18,97.92,11526,167.29,57.82,54.0,55.47,171.11,11584,176.1,96.65,56.88,22.57,215.87,11985,125.44,35.35,47.42,42.67,113.37,12245,0.9898148896613048
27,149.23,70.87,54.69,23.67,165.41,14261,165.74,128.57,70.97,-33.8,223.34,13516,155.23,51.97,47.95,55.31,159.25,13963,160.9,67.39,51.29,42.22,177.0,13867,154.94,41.04,45.69,68.21,150.29,13939,162.49,81.16,54.04,27.29,189.61,13372,0.9376621555290652
28,164.17,128.93,66.55,-31.31,226.55,10628,158.69,85.92,57.09,15.68,187.52,10147,154.82,59.0,40.28,55.54,173.54,9632,180.58,103.49,61.58,15.51,222.49,9658,186.31,151.95,80.9,-46.54,257.36,9559,178.74,109.93,63.23,5.58,225.44,9846,0.9264207753105006
29,152.7,95.08,56.62,1.0,191.16,11883,155.57,119.27,68.31,-32.01,206.53,11184,131.63,48.82,44.69,38.12,135.76,11086,137.75,78.38,51.46,7.91,164.67,11462,170.18,157.36,71.64,-58.82,255.9,11104,167.58,133.55,63.86,-29.83,237.27,11928,1.0037869224943197
30,175.93,84.44,53.26,38.23,207.11,15876,151.73,51.04,58.43,42.26,144.34,15077,115.65,33.84,51.37,30.44,98.12,15768,174.34,63.8,48.5,62.04,189.64,16160,182.08,75.92,47.81,58.35,210.19,15745,136.4,39.66,52.99,43.75,123.07,15939,1.003968253968254
31,173.3,135.44,72.82,-34.96,235.92,12048,166.15,150.68,75.52,-60.05,241.31,11176,181.18,127.74,70.73,-17.29,238.19,11457,182.93,170.19,78.74,-66.0,274.38,11445,178.36,155.68,75.19,-52.51,258.85,11825,182.83,123.13,67.69,-7.99,238.27,11770,0.976925630810093
32,174.09,144.07,67.02,-37.0,251.14,10808,150.24,64.44,50.17,35.63,164.51,10737,163.11,75.5,46.37,41.24,192.24,9720,173.05,108.46,59.97,4.62,221.54,10574,169.8,108.42,62.19,-0.81,216.03,10084,160.08,76.98,48.9,34.2,188.16,10198,0.943560325684678
33,169.87,139.73,74.75,-44.61,234.85,13919,148.86,72.64,72.74,3.48,148.76,12986,157.97,61.8,52.51,43.66,167.26,12598,175.27,124.12,70.59,-19.44,228.8,12748,169.43,112.61,79.14,-22.32,202.9,13115,142.09,51.1,53.93,37.06,139.26,13242,0.9513614483799124
34,175.34,133.53,82.05,-40.24,226.82,11772,150.18,65.23,70.32,14.63,145.09,11963,111.91,34.25,46.09,31.57,100.07,11956,164.06,94.73,71.54,-2.21,187.25,11214,185.39,145.49,88.19,-48.29,242.69,12019,121.27,41.99,54.01,25.27,109.25,12022,1.0212368331634387
35,200.65,165.61,81.6,-46.56,284.66,11339,152.08,55.71,59.09,37.28,148.7,11386,175.62,108.42,63.93,3.27,220.11,11540,195.51,113.35,64.18,17.98,244.68,11247,188.36,91.93,62.22,34.21,218.07,10983,175.54,101.33,64.58,9.63,212.29,11294,0.9960313960666726
36,178.94,108.64,62.0,8.3,225.58,17295,172.94,78.92,63.22,30.8,188.64,16020,142.46,42.28,57.95,42.23,126.79,16264,194.64,104.84,64.59,25.21,234.89,16468,192.96,122.87,58.43,11.66,257.4,17047,157.4,47.77,47.74,61.89,157.43,16266,0.9405030355594104
37,182.98,109.32,58.01,15.65,234.29,7579,147.34,76.59,43.74,27.01,180.19,7679,118.08,30.74,32.29,55.05,116.53,8116,128.68,39.64,41.77,47.27,126.55,7629,173.34,132.52,64.97,-24.15,240.89,8443,173.49,68.78,43.31,61.4,198.96,7785,1.0271803668030084
38,171.29,143.92,52.57,-25.2,262.64,12385,176.11,116.2,72.67,-12.76,219.64,12711,158.13,49.87,48.68,59.58,159.32,12684,177.15,147.51,59.65,-30.01,265.01,12085,181.88,165.62,69.15,-52.89,278.35,12373,160.61,84.84,51.43,24.34,194.02,12710,1.0262414210738795
39,170.36,150.47,68.92,-49.03,251.91,8848,162.68,138.49,73.85,-49.66,227.32,9034,151.2,60.13,42.9,48.17,168.43,8820,186.06,165.25,90.48,-69.67,260.83,8439,178.95,172.4,87.73,-81.18,263.62,8831,153.77,98.18,58.07,-2.48,193.88,9136,1.0325497287522605
40,171.03,131.96,56.73,-17.66,246.26,9616,120.93,39.38,49.57,31.98,110.74,9132,137.27,49.07,42.51,45.69,143.83,8909,139.9,55.9,42.51,41.49,153.29,9133,146.27,44.43,42.36,59.48,148.34,8967,139.14,42.02,38.03,59.09,143.13,9023,0.9383319467554077
41,195.74,154.57,60.99,-19.82,289.32,14990,125.78,41.3,53.4,31.08,113.68,14600,143.66,50.8,54.16,38.7,140.3,14928,182.2,116.31,48.55,17.34,249.96,14435,186.31,76.48,54.09,55.74,208.7,14589,149.67,58.15,47.41,44.11,160.41,14874,0.9922615076717812
42,173.96,111.91,54.07,7.98,231.8,12283,162.31,88.28,64.82,9.21,185.77,12178,140.41,33.04,41.4,65.97,132.05,11673,178.22,104.44,61.76,12.02,220.9,12224,177.12,76.69,48.47,51.96,205.34,12157,150.21,39.4,42.84,67.97,146.77,11864,0.965887812423675
43,132.93,47.82,43.21,41.9,137.54,9726,167.64,102.64,56.57,8.43,213.71,9416,140.15,31.04,29.89,79.22,141.3,9273,163.28,60.82,39.53,62.93,184.57,9136,164.08,66.71,39.92,57.45,190.87,9014,141.73,32.68,28.35,80.7,146.06,9003,0.9256631708821716
44,181.76,132.31,61.93,-12.48,252.14,12311,180.14,152.15,67.64,-39.65,264.65,11583,181.74,104.81,50.36,26.57,236.19,11698,188.88,151.62,69.12,-31.86,271.38,11515,194.32,147.41,67.55,-20.64,274.18,11536,186.46,111.91,53.56,20.99,244.81,11800,0.9584924051661116
45,146.92,63.97,50.14,32.81,160.75,9772,166.5,147.46,67.71,-48.67,246.25,9245,137.46,43.5,40.34,53.62,140.62,8806,157.58,75.46,44.21,37.91,188.83,9104,168.59,116.67,60.37,-8.45,224.89,9169,160.69,67.94,51.1,41.65,177.53,8668,0.8870241506344658
46,185.1,172.19,72.92,-60.01,284.37,9629,137.62,64.64,47.6,25.38,154.66,9520,143.8,82.16,43.2,18.44,182.76,9211,175.36,97.26,57.85,20.25,214.77,9036,182.35,144.71,72.45,-34.81,254.61,9176,146.49,85.05,43.89,17.55,187.65,9239,0.959497351749922
47,156.22,82.05,40.79,33.38,197.48,9633,119.06,39.68,37.33,42.05,121.41,9171,107.58,23.08,29.51,54.99,101.15,8763,106.89,24.53,33.59,48.77,97.83,8668,160.15,84.18,36.61,39.36,207.72,9222,123.44,33.72,30.91,58.81,126.25,9173,0.9522474826118552
48,182.35,125.58,57.48,-0.71,250.45,11761,165.93,99.48,65.16,1.29,200.25,11603,135.72,35.99,46.46,53.27,125.25,11640,195.28,130.43,67.92,-3.07,257.79,11825,196.77,161.92,67.99,-33.14,290.7,11625,160.26,80.2,46.0,34.06,194.46,11598,0.9861406342998044
49,165.46,98.87,52.5,14.09,211.83,13431,171.87,114.14,62.02,-4.29,223.99,12916,148.7,36.74,37.48,74.48,147.96,12674,173.04,67.85,48.43,56.76,192.46,12812,188.86,112.45,60.69,15.72,240.62,12822,171.98,70.42,47.65,53.91,194.75,12789,0.9522001340183158
50,172.13,101.22,47.39,23.52,225.96,16419,148.08,58.28,53.11,36.69,153.25,15767,107.96,39.36,52.2,16.4,95.12,16517,160.98,57.88,50.13,52.97,168.73,15622,192.81,99.74,45.3,47.77,247.25,16211,147.26,58.57,47.89,40.8,157.94,16378,0.9975028929898287
51,180.82,173.63,72.41,-65.22,282.04,12910,167.72,102.52,66.74,-1.54,203.5,12624,176.66,105.28,57.65,13.73,224.29,12695,187.15,146.78,73.83,-33.46,260.1,12694,181.05,167.18,69.91,-56.04,278.32,12713,180.45,118.94,63.76,-2.25,235.63,12804,0.9917893106119288
52,166.61,88.22,46.33,32.06,208.5,13053,143.61,40.51,45.2,57.9,138.92,12164,134.32,42.29,42.15,49.88,134.46,12201,172.61,67.94,36.55,68.12,204.0,12430,169.97,65.36,38.65,65.96,196.68,12030,124.22,33.32,40.39,50.51,117.15,12816,0.9818432544242702
53,163.1,119.69,61.08,-17.67,221.71,13877,123.79,56.29,48.04,19.46,132.04,13544,142.73,59.87,52.31,30.55,150.29,13172,159.52,71.57,50.95,37.0,180.14,12967,160.04,102.99,49.47,7.58,213.56,13213,134.6,58.38,46.61,29.61,146.37,12655,0.911940621171723
54,163.86,140.74,66.86,-43.74,237.74,12985,168.47,153.35,66.2,-51.08,255.62,12440,157.6,99.07,52.39,6.14,204.28,11863,168.65,131.65,66.0,-29.0,234.3,12599,176.22,148.62,69.58,-41.98,255.26,12214,172.04,102.52,58.89,10.63,215.67,12810,0.9865229110512128
55,176.87,156.97,67.67,-47.77,266.17,11090,181.61,158.98,83.27,-60.64,257.32,10984,185.33,105.06,60.5,19.77,229.89,10613,190.1,167.27,81.47,-58.64,275.9,10375,182.81,177.42,74.47,-69.08,285.76,10652,190.89,161.33,79.3,-49.74,272.92,10766,0.9707844905320108
56,180.24,166.12,80.14,-66.02,266.22,9846,162.46,117.75,67.95,-23.24,212.26,9606,151.36,62.83,47.98,40.55,166.21,9372,182.88,140.27,73.93,-31.32,249.22,9181,184.14,179.66,77.7,-73.22,286.1,9241,162.91,103.73,57.91,1.27,208.73,9183,0.9326630103595368
57,177.32,138.94,62.56,-24.18,253.7,17288,188.37,152.75,76.23,-40.61,264.89,16480,187.79,103.14,59.38,25.27,231.55,17424,191.29,154.06,70.09,-32.86,275.26,17113,190.74,164.35,75.25,-48.86,279.84,16268,182.35,125.32,58.93,-1.9,248.74,16585,0.9593359555761222
58,171.87,161.63,63.61,-53.37,269.89,11475,171.01,142.7,70.65,-42.34,243.06,11105,160.56,68.02,40.89,51.65,187.69,10894,180.0,134.76,65.3,-20.06,249.46,11215,182.83,183.42,78.29,-78.88,287.96,10656,168.84,103.84,51.02,13.98,221.66,10985,0.9572984749455338
59,176.92,159.51,54.58,-37.17,281.85,9868,168.44,106.89,59.47,2.08,215.86,10070,162.38,70.58,47.29,44.51,185.67,9548,171.81,129.17,52.69,-10.05,248.29,9550,186.87,165.8,62.71,-41.64,289.96,9184,177.33,133.27,54.37,-10.31,256.23,9925,1.005776246453182
60,184.75,163.04,75.08,-53.37,272.71,9334,153.57,86.65,57.15,9.77,183.07,9592,154.35,64.48,58.26,31.61,160.57,9398,147.74,70.22,46.21,31.31,171.75,9067,181.65,115.84,57.34,8.47,240.15,9587,186.25,117.78,68.26,0.21,235.77,9677,1.0367473751874865
61,178.04,162.37,75.45,-59.78,264.96,12360,163.48,137.28,73.29,-47.09,227.47,11889,173.79,108.04,61.89,3.86,219.94,12019,179.02,143.41,73.17,-37.56,249.26,11961,174.0,147.29,70.22,-43.51,251.07,12304,169.82,136.29,67.17,-33.64,238.94,12353,0.9994336569579289
62,168.71,128.56,61.82,-21.67,235.45,11900,160.62,141.34,57.68,-38.4,244.28,11702,163.72,90.08,50.37,23.27,203.43,10940,164.09,132.22,51.97,-20.1,244.34,10980,175.13,155.78,56.95,-37.6,273.96,11801,172.63,141.58,61.68,-30.63,252.53,11817,0.9930252100840335
63,177.48,160.82,66.64,-49.98,271.66,9333,159.11,107.72,62.5,-11.11,204.33,9414,156.98,76.96,48.98,31.04,184.96,9023,173.46,134.57,59.91,-21.02,248.12,8803,187.69,164.44,69.46,-46.21,282.67,9273,182.91,143.13,74.79,-35.01,251.25,8818,0.94481945783778
64,181.87,180.34,74.25,-72.72,287.96,11353,159.62,103.04,61.7,-5.12,200.96,11158,156.52,71.28,47.6,37.64,180.2,10976,185.53,163.63,76.57,-54.67,272.59,11338,178.83,158.19,74.55,-53.91,262.47,11586,153.82,88.9,51.27,13.65,191.45,10773,0.9489121818021669
