,1rd_red, 1rd_r, 1rd_rg, 1rd_most_red, 1rd_least_red, 1rd_most_yellow, 1rd_size, 2nd_red, 2rd_r, 2rd_rg, 2rd_most_red, 2rd_least_red, 2rd_most_yellow, 2nd_size, 3rd_red, 3rd_r, 3rd_rg, 3rd_most_red, 3rd_least_red, 3rd_most_yellow, 3rd_size, 4th_red, 4rd_r, 4rd_rg, 4rd_most_red, 4rd_least_red, 4rd_most_yellow, 4th_size, 5th_red, 5rd_r, 5rd_rg, 5rd_most_red, 5rd_least_red, 5rd_most_yellow, 5th_size, 6th_red, 6rd_r, 6rd_rg, 6rd_most_red, 6rd_least_red, 6rd_most_yellow, 6th_size, height/area
0,179.65,48.22,224.6,158.0,-209.0,370.0,10981,141.68,63.15,128.75,155.0,-240.0,335.0,10157,149.8,81.87,135.43,167.0,-248.0,301.0,10081,168.14,82.22,154.7,172.0,-162.0,277.0,10328,173.14,74.95,196.93,163.0,-140.0,376.0,10264,153.59,73.13,155.59,160.0,-206.0,329.0,10156,0.92487023039796
1,175.5,-9.96,227.14,145.0,-230.0,386.0,11926,119.29,30.07,106.09,136.0,-232.0,327.0,11787,117.79,45.55,105.21,128.0,-231.0,252.0,11222,129.69,41.82,116.34,117.0,-237.0,275.0,11350,174.57,36.38,196.02,155.0,-183.0,338.0,10948,148.2,46.09,156.11,152.0,-180.0,377.0,11417,0.9573201408686902
2,176.79,21.82,223.68,129.0,-127.0,380.0,12153,136.82,47.71,126.01,140.0,-244.0,333.0,11564,111.15,44.27,92.53,124.0,-121.0,253.0,12272,126.25,45.25,114.35,152.0,-203.0,315.0,11456,179.41,66.04,210.1,156.0,-167.0,386.0,12173,160.67,59.25,177.91,140.0,-138.0,340.0,11697,0.9624784003949642
3,185.79,-56.87,281.75,107.0,-237.0,384.0,15137,155.54,25.69,157.65,172.0,-245.0,333.0,15027,176.64,46.64,194.22,168.0,-238.0,362.0,14726,169.77,35.39,195.73,173.0,-197.0,402.0,14344,180.11,-4.2,239.52,141.0,-228.0,391.0,14778,168.33,39.37,198.21,164.0,-234.0,363.0,14829,0.9796525071018036
4,153.74,1.64,182.3,134.0,-228.0,402.0,13290,165.26,-23.26,201.44,131.0,-230.0,395.0,12905,123.48,35.7,112.26,146.0,-232.0,264.0,12509,177.73,-5.88,232.74,163.0,-163.0,383.0,13034,175.83,-22.44,235.48,117.0,-198.0,387.0,13274,128.7,29.82,116.88,145.0,-208.0,340.0,12925,0.972535741158766
5,167.94,-49.7,243.08,142.0,-235.0,381.0,10603,171.73,-38.61,230.83,91.0,-226.0,362.0,10390,149.39,64.76,152.54,161.0,-152.0,327.0,10369,167.48,-53.49,239.89,119.0,-185.0,371.0,10414,175.59,-76.05,263.13,38.0,-180.0,381.0,10669,169.47,8.21,210.35,135.0,-195.0,379.0,10235,0.96529284164859
6,179.79,-7.34,245.7,169.0,-203.0,418.0,12882,184.88,-22.25,245.63,118.0,-227.0,385.0,12319,178.26,62.47,173.45,181.0,-239.0,364.0,12430,191.76,18.97,234.65,183.0,-225.0,360.0,12439,197.03,14.54,247.28,132.0,-181.0,347.0,12677,186.68,43.72,223.82,151.0,-131.0,351.0,12693,0.9853283651606892
7,171.89,-49.89,254.51,106.0,-236.0,388.0,12443,167.03,23.1,190.12,176.0,-163.0,363.0,11456,159.3,61.34,159.52,162.0,-228.0,281.0,10871,158.35,21.11,186.23,164.0,-228.0,397.0,11701,179.34,-36.95,263.09,135.0,-203.0,385.0,10543,186.88,-53.26,263.1,117.0,-223.0,380.0,11700,0.9402877119665676
8,184.68,-38.64,264.4,129.0,-201.0,399.0,12112,179.35,-60.73,252.27,108.0,-235.0,369.0,11366,185.81,53.42,204.08,172.0,-234.0,345.0,11696,200.7,-12.73,257.87,159.0,-238.0,365.0,11833,204.47,-65.11,289.25,95.0,-242.0,387.0,11336,203.47,-41.36,274.14,61.0,-224.0,382.0,11795,0.9738276089828268
9,174.21,-7.62,219.94,121.0,-229.0,392.0,11169,126.6,39.38,119.08,151.0,-246.0,302.0,10839,138.16,51.63,128.33,154.0,-170.0,339.0,10951,159.4,33.59,170.59,152.0,-234.0,356.0,10481,167.1,20.21,203.07,153.0,-168.0,382.0,10605,144.53,42.96,147.1,147.0,-160.0,367.0,10733,0.9609633807861044
10,184.23,-79.28,281.56,56.0,-243.0,368.0,10240,163.6,19.04,190.88,158.0,-251.0,353.0,10441,179.93,17.02,223.04,147.0,-206.0,388.0,10320,186.36,-65.38,255.46,137.0,-246.0,343.0,10308,186.32,-62.4,268.24,86.0,-246.0,367.0,10157,182.35,-24.41,241.05,127.0,-218.0,358.0,10216,0.99765625
11,184.44,-5.59,242.97,138.0,-222.0,393.0,12940,174.81,-19.7,234.4,144.0,-243.0,385.0,12645,157.58,67.14,151.38,162.0,-240.0,309.0,12920,186.15,23.07,228.13,164.0,-156.0,355.0,12843,189.61,-7.25,258.05,115.0,-220.0,394.0,12642,185.05,33.09,225.13,120.0,-150.0,345.0,12817,0.9904945904173108
12,180.74,-60.66,278.58,65.0,-203.0,396.0,11712,180.08,-66.0,240.3,76.0,-235.0,355.0,11148,193.83,-16.98,241.84,144.0,-204.0,374.0,10891,180.64,-79.89,261.91,105.0,-229.0,370.0,11004,194.93,-53.09,269.47,42.0,-190.0,388.0,11321,185.54,-45.06,256.22,93.0,-240.0,380.0,11391,0.972592213114754
13,177.24,-14.73,232.65,156.0,-244.0,372.0,10098,147.19,4.8,173.6,149.0,-239.0,376.0,10553,133.69,49.68,130.7,150.0,-226.0,282.0,10379,166.21,35.46,195.9,151.0,-207.0,378.0,9983,177.71,-32.8,248.04,129.0,-235.0,366.0,10039,175.43,-7.22,236.68,122.0,-233.0,392.0,9887,0.9791047732224204
14,185.22,29.72,214.02,162.0,-185.0,376.0,12534,181.62,-57.46,265.78,94.0,-210.0,380.0,11805,174.59,56.1,175.88,154.0,-123.0,375.0,11874,183.29,26.25,224.33,175.0,-190.0,381.0,12325,199.63,-3.33,269.21,134.0,-187.0,370.0,12185,191.74,-25.84,258.3,97.0,-203.0,366.0,12439,0.9924206159246848
15,172.43,-27.32,246.56,119.0,-230.0,395.0,7671,98.14,25.85,93.29,101.0,-195.0,298.0,7854,123.25,48.87,115.35,135.0,-241.0,299.0,7387,119.88,43.36,123.38,150.0,-241.0,299.0,7148,139.46,25.65,164.69,120.0,-212.0,373.0,7295,134.12,38.19,139.99,131.0,-242.0,346.0,7292,0.950593143006127
16,173.0,-28.28,229.3,144.0,-241.0,370.0,12871,166.55,-33.79,228.35,124.0,-242.0,375.0,11992,170.41,45.9,188.18,150.0,-175.0,305.0,12136,172.83,26.38,202.86,142.0,-166.0,367.0,12048,177.22,15.37,212.73,137.0,-220.0,367.0,12038,180.96,-52.94,256.94,100.0,-194.0,376.0,12463,0.9683008313262372
17,182.69,-56.45,272.93,123.0,-246.0,388.0,15506,177.33,5.97,224.21,139.0,-246.0,378.0,14906,152.25,53.51,141.65,167.0,-246.0,280.0,15387,166.8,27.58,196.98,172.0,-242.0,379.0,15682,185.12,13.88,244.1,152.0,-234.0,433.0,15402,193.7,-35.91,271.11,118.0,-207.0,396.0,15633,1.0081903779182253
18,175.81,-20.37,239.95,143.0,-243.0,383.0,10375,159.07,20.7,175.58,151.0,-247.0,334.0,10465,143.45,68.0,133.56,175.0,-240.0,253.0,9989,164.94,21.22,195.98,155.0,-227.0,358.0,10194,189.94,-52.48,268.22,94.0,-225.0,362.0,9845,182.21,-19.11,246.83,117.0,-201.0,377.0,10037,0.967421686746988
19,176.82,-43.63,240.91,130.0,-217.0,369.0,11105,163.38,4.12,205.6,134.0,-247.0,380.0,10970,160.89,55.57,181.99,158.0,-196.0,350.0,10375,178.73,-24.66,248.84,137.0,-210.0,390.0,10609,180.84,-67.04,278.36,62.0,-206.0,402.0,10487,176.07,-43.5,248.04,97.0,-207.0,380.0,10537,0.9488518685276902
20,184.16,-52.0,257.74,103.0,-213.0,382.0,12493,167.58,19.04,174.86,160.0,-248.0,305.0,12166,150.15,56.16,152.5,174.0,-194.0,324.0,11749,172.33,8.14,202.14,170.0,-248.0,348.0,11764,185.18,-62.46,249.32,112.0,-226.0,359.0,11791,189.39,-42.41,247.77,94.0,-242.0,372.0,11851,0.9486112222844794
21,175.35,-80.84,278.22,31.0,-253.0,373.0,8821,174.36,-84.73,268.29,44.0,-244.0,366.0,8548,184.78,-39.27,254.43,73.0,-229.0,378.0,8356,187.74,-87.14,261.2,71.0,-243.0,365.0,8812,185.83,-97.48,273.08,64.0,-225.0,361.0,8686,166.82,-79.58,269.58,19.0,-204.0,373.0,8779,0.9952386350753882
22,178.16,-30.05,237.85,135.0,-243.0,375.0,10777,169.73,-74.41,252.29,37.0,-210.0,368.0,10869,178.9,-23.98,232.58,152.0,-172.0,361.0,10746,183.97,-33.72,243.72,149.0,-198.0,359.0,10566,192.47,-56.95,268.63,78.0,-168.0,380.0,10455,189.66,-62.15,267.11,82.0,-191.0,368.0,10885,1.0100213417463115
23,157.98,-3.81,202.59,131.0,-246.0,357.0,10883,160.08,-24.42,204.28,125.0,-237.0,362.0,11296,150.85,35.76,167.06,148.0,-211.0,362.0,10725,171.58,18.93,202.89,139.0,-191.0,335.0,10140,185.58,-55.86,257.88,95.0,-190.0,387.0,10440,174.53,2.28,213.9,123.0,-201.0,357.0,10439,0.9592024258017092
24,142.78,28.7,157.4,147.0,-250.0,367.0,8795,157.92,-11.21,188.19,123.0,-250.0,352.0,8975,119.91,47.58,108.12,119.0,-214.0,248.0,8594,163.18,51.5,172.16,145.0,-171.0,296.0,8453,174.87,21.49,208.09,130.0,-201.0,344.0,8283,141.66,39.65,145.87,118.0,-234.0,313.0,8316,0.945537237066515
25,164.41,-7.57,222.57,160.0,-229.0,387.0,13414,161.78,-24.03,226.67,91.0,-235.0,374.0,12779,153.73,57.55,172.05,146.0,-246.0,330.0,12887,172.07,20.66,218.12,150.0,-193.0,387.0,12871,169.19,25.28,216.48,128.0,-206.0,361.0,12812,148.14,42.81,175.39,140.0,-243.0,333.0,12656,0.943491874161324
26,174.84,4.81,214.21,134.0,-221.0,392.0,12371,150.4,16.4,159.26,135.0,-202.0,346.0,12217,114.01,34.18,97.92,98.0,-247.0,263.0,11526,167.29,55.47,171.11,145.0,-250.0,322.0,11584,176.1,22.57,215.87,140.0,-169.0,376.0,11985,125.44,42.67,113.37,146.0,-233.0,286.0,12245,0.9898148896613048
27,149.23,23.67,165.41,159.0,-249.0,348.0,14261,165.74,-33.8,223.34,111.0,-223.0,374.0,13516,155.23,55.31,159.25,174.0,-238.0,306.0,13963,160.9,42.22,177.0,151.0,-229.0,393.0,13867,154.94,68.21,150.29,171.0,-191.0,301.0,13939,162.49,27.29,189.61,134.0,-180.0,340.0,13372,0.9376621555290652
28,164.17,-31.31,226.55,125.0,-245.0,374.0,10628,158.69,15.68,187.52,149.0,-251.0,356.0,10147,154.82,55.54,173.54,145.0,-218.0,342.0,9632,180.58,15.51,222.49,136.0,-150.0,361.0,9658,186.31,-46.54,257.36,95.0,-225.0,359.0,9559,178.74,5.58,225.44,125.0,-173.0,352.0,9846,0.9264207753105006
29,152.7,1.0,191.16,130.0,-245.0,365.0,11883,155.57,-32.01,206.53,128.0,-247.0,365.0,11184,131.63,38.12,135.76,129.0,-233.0,303.0,11086,137.75,7.91,164.67,113.0,-239.0,348.0,11462,170.18,-58.82,255.9,63.0,-207.0,386.0,11104,167.58,-29.83,237.27,111.0,-190.0,386.0,11928,1.0037869224943197
30,175.93,38.23,207.11,158.0,-245.0,368.0,15876,151.73,42.26,144.34,166.0,-229.0,358.0,15077,115.65,30.44,98.12,140.0,-204.0,254.0,15768,174.34,62.04,189.64,182.0,-248.0,341.0,16160,182.08,58.35,210.19,159.0,-166.0,358.0,15745,136.4,43.75,123.07,170.0,-242.0,278.0,15939,1.003968253968254
31,173.3,-34.96,235.92,135.0,-240.0,381.0,12048,166.15,-60.05,241.31,71.0,-226.0,372.0,11176,181.18,-17.29,238.19,117.0,-243.0,369.0,11457,182.93,-66.0,274.38,80.0,-246.0,366.0,11445,178.36,-52.51,258.85,101.0,-235.0,372.0,11825,182.83,-7.99,238.27,102.0,-229.0,377.0,11770,0.976925630810093
32,174.09,-37.0,251.14,104.0,-219.0,391.0,10808,150.24,35.63,164.51,154.0,-247.0,322.0,10737,163.11,41.24,192.24,166.0,-242.0,361.0,9720,173.05,4.62,221.54,133.0,-209.0,366.0,10574,169.8,-0.81,216.03,140.0,-196.0,353.0,10084,160.08,34.2,188.16,153.0,-224.0,357.0,10198,0.943560325684678
33,169.87,-44.61,234.85,108.0,-235.0,376.0,13919,148.86,3.48,148.76,146.0,-208.0,316.0,12986,157.97,43.66,167.26,148.0,-199.0,322.0,12598,175.27,-19.44,228.8,140.0,-214.0,385.0,12748,169.43,-22.32,202.9,138.0,-236.0,376.0,13115,142.09,37.06,139.26,152.0,-204.0,303.0,13242,0.9513614483799124
34,175.34,-40.24,226.82,130.0,-243.0,370.0,11772,150.18,14.63,145.09,163.0,-208.0,317.0,11963,111.91,31.57,100.07,142.0,-247.0,312.0,11956,164.06,-2.21,187.25,147.0,-192.0,344.0,11214,185.39,-48.29,242.69,89.0,-238.0,373.0,12019,121.27,25.27,109.25,124.0,-229.0,293.0,12022,1.0212368331634387
35,200.65,-46.56,284.66,99.0,-188.0,404.0,11339,152.08,37.28,148.7,155.0,-250.0,333.0,11386,175.62,3.27,220.11,199.0,-220.0,393.0,11540,195.51,17.98,244.68,158.0,-182.0,359.0,11247,188.36,34.21,218.07,182.0,-173.0,373.0,10983,175.54,9.63,212.29,182.0,-231.0,405.0,11294,0.9960313960666726
36,178.94,8.3,225.58,150.0,-249.0,407.0,17295,172.94,30.8,188.64,153.0,-189.0,370.0,16020,142.46,42.23,126.79,148.0,-234.0,316.0,16264,194.64,25.21,234.89,167.0,-177.0,362.0,16468,192.96,11.66,257.4,135.0,-179.0,374.0,17047,157.4,61.89,157.43,181.0,-244.0,357.0,16266,0.9405030355594104
37,182.98,15.65,234.29,153.0,-221.0,376.0,7579,147.34,27.01,180.19,144.0,-220.0,342.0,7679,118.08,55.05,116.53,150.0,-211.0,328.0,8116,128.68,47.27,126.55,127.0,-227.0,338.0,7629,173.34,-24.15,240.89,122.0,-246.0,364.0,8443,173.49,61.4,198.96,149.0,-111.0,330.0,7785,1.0271803668030084
38,171.29,-25.2,262.64,141.0,-245.0,420.0,12385,176.11,-12.76,219.64,162.0,-225.0,374.0,12711,158.13,59.58,159.32,161.0,-247.0,359.0,12684,177.15,-30.01,265.01,133.0,-233.0,407.0,12085,181.88,-52.89,278.35,54.0,-216.0,409.0,12373,160.61,24.34,194.02,150.0,-154.0,401.0,12710,1.0262414210738795
39,170.36,-49.03,251.91,109.0,-204.0,380.0,8848,162.68,-49.66,227.32,106.0,-217.0,358.0,9034,151.2,48.17,168.43,141.0,-235.0,311.0,8820,186.06,-69.67,260.83,122.0,-202.0,355.0,8439,178.95,-81.18,263.62,48.0,-175.0,370.0,8831,153.77,-2.48,193.88,126.0,-191.0,359.0,9136,1.0325497287522605
40,171.03,-17.66,246.26,93.0,-224.0,397.0,9616,120.93,31.98,110.74,139.0,-240.0,355.0,9132,137.27,45.69,143.83,134.0,-240.0,303.0,8909,139.9,41.49,153.29,118.0,-229.0,366.0,9133,146.27,59.48,148.34,163.0,-202.0,293.0,8967,139.14,59.09,143.13,146.0,-225.0,310.0,9023,0.9383319467554077
41,195.74,-19.82,289.32,114.0,-211.0,396.0,14990,125.78,31.08,113.68,131.0,-253.0,361.0,14600,143.66,38.7,140.3,152.0,-197.0,328.0,14928,182.2,17.34,249.96,150.0,-112.0,415.0,14435,186.31,55.74,208.7,164.0,-181.0,391.0,14589,149.67,44.11,160.41,167.0,-217.0,364.0,14874,0.9922615076717812
42,173.96,7.98,231.8,153.0,-239.0,390.0,12283,162.31,9.21,185.77,168.0,-246.0,372.0,12178,140.41,65.97,132.05,154.0,-246.0,276.0,11673,178.22,12.02,220.9,156.0,-198.0,365.0,12224,177.12,51.96,205.34,154.0,-161.0,338.0,12157,150.21,67.97,146.77,171.0,-250.0,292.0,11864,0.965887812423675
43,132.93,41.9,137.54,149.0,-251.0,341.0,9726,167.64,8.43,213.71,143.0,-247.0,363.0,9416,140.15,79.22,141.3,157.0,-169.0,274.0,9273,163.28,62.93,184.57,159.0,-209.0,334.0,9136,164.08,57.45,190.87,154.0,-223.0,343.0,9014,141.73,80.7,146.06,182.0,-251.0,279.0,9003,0.9256631708821716
44,181.76,-12.48,252.14,146.0,-239.0,392.0,12311,180.14,-39.65,264.65,87.0,-248.0,389.0,11583,181.74,26.57,236.19,134.0,-245.0,367.0,11698,188.88,-31.86,271.38,129.0,-209.0,375.0,11515,194.32,-20.64,274.18,99.0,-231.0,387.0,11536,186.46,20.99,244.81,138.0,-216.0,355.0,11800,0.9584924051661116
45,146.92,32.81,160.75,150.0,-251.0,306.0,9772,166.5,-48.67,246.25,88.0,-239.0,374.0,9245,137.46,53.62,140.62,156.0,-236.0,295.0,8806,157.58,37.91,188.83,138.0,-249.0,336.0,9104,168.59,-8.45,224.89,100.0,-187.0,374.0,9169,160.69,41.65,177.53,144.0,-202.0,314.0,8668,0.8870241506344658
46,185.1,-60.01,284.37,58.0,-182.0,390.0,9629,137.62,25.38,154.66,127.0,-247.0,309.0,9520,143.8,18.44,182.76,144.0,-190.0,381.0,9211,175.36,20.25,214.77,154.0,-145.0,376.0,9036,182.35,-34.81,254.61,110.0,-175.0,376.0,9176,146.49,17.55,187.65,115.0,-230.0,350.0,9239,0.959497351749922
47,156.22,33.38,197.48,145.0,-250.0,381.0,9633,119.06,42.05,121.41,153.0,-245.0,319.0,9171,107.58,54.99,101.15,141.0,-247.0,262.0,8763,106.89,48.77,97.83,111.0,-250.0,258.0,8668,160.15,39.36,207.72,144.0,-243.0,380.0,9222,123.44,58.81,126.25,141.0,-249.0,318.0,9173,0.9522474826118552
48,182.35,-0.71,250.45,142.0,-231.0,399.0,11761,165.93,1.29,200.25,161.0,-239.0,385.0,11603,135.72,53.27,125.25,145.0,-158.0,265.0,11640,195.28,-3.07,257.79,164.0,-147.0,374.0,11825,196.77,-33.14,290.7,76.0,-166.0,406.0,11625,160.26,34.06,194.46,158.0,-203.0,363.0,11598,0.9861406342998044
49,165.46,14.09,211.83,144.0,-248.0,378.0,13431,171.87,-4.29,223.99,145.0,-186.0,373.0,12916,148.7,74.48,147.96,159.0,-250.0,279.0,12674,173.04,56.76,192.46,155.0,-235.0,369.0,12812,188.86,15.72,240.62,142.0,-215.0,354.0,12822,171.98,53.91,194.75,155.0,-201.0,335.0,12789,0.9522001340183158
50,172.13,23.52,225.96,132.0,-249.0,407.0,16419,148.08,36.69,153.25,148.0,-237.0,370.0,15767,107.96,16.4,95.12,127.0,-230.0,313.0,16517,160.98,52.97,168.73,141.0,-249.0,360.0,15622,192.81,47.77,247.25,160.0,-244.0,381.0,16211,147.26,40.8,157.94,166.0,-243.0,371.0,16378,0.9975028929898287
51,180.82,-65.22,282.04,47.0,-224.0,392.0,12910,167.72,-1.54,203.5,138.0,-236.0,350.0,12624,176.66,13.73,224.29,142.0,-208.0,405.0,12695,187.15,-33.46,260.1,125.0,-207.0,370.0,12694,181.05,-56.04,278.32,58.0,-186.0,378.0,12713,180.45,-2.25,235.63,135.0,-195.0,410.0,12804,0.9917893106119288
52,166.61,32.06,208.5,140.0,-233.0,383.0,13053,143.61,57.9,138.92,182.0,-250.0,300.0,12164,134.32,49.88,134.46,134.0,-209.0,342.0,12201,172.61,68.12,204.0,166.0,-245.0,370.0,12430,169.97,65.96,196.68,167.0,-222.0,363.0,12030,124.22,50.51,117.15,136.0,-249.0,336.0,12816,0.9818432544242702
53,163.1,-17.67,221.71,103.0,-248.0,407.0,13877,123.79,19.46,132.04,138.0,-248.0,313.0,13544,142.73,30.55,150.29,122.0,-202.0,328.0,13172,159.52,37.0,180.14,138.0,-252.0,326.0,12967,160.04,7.58,213.56,128.0,-198.0,409.0,13213,134.6,29.61,146.37,113.0,-194.0,313.0,12655,0.911940621171723
54,163.86,-43.74,237.74,94.0,-226.0,386.0,12985,168.47,-51.08,255.62,82.0,-244.0,374.0,12440,157.6,6.14,204.28,130.0,-240.0,342.0,11863,168.65,-29.0,234.3,97.0,-236.0,395.0,12599,176.22,-41.98,255.26,84.0,-248.0,368.0,12214,172.04,10.63,215.67,130.0,-221.0,381.0,12810,0.9865229110512128
55,176.87,-47.77,266.17,122.0,-243.0,379.0,11090,181.61,-60.64,257.32,68.0,-247.0,354.0,10984,185.33,19.77,229.89,112.0,-181.0,369.0,10613,190.1,-58.64,275.9,79.0,-220.0,380.0,10375,182.81,-69.08,285.76,31.0,-203.0,380.0,10652,190.89,-49.74,272.92,44.0,-230.0,373.0,10766,0.9707844905320108
56,180.24,-66.02,266.22,80.0,-237.0,364.0,9846,162.46,-23.24,212.26,137.0,-242.0,363.0,9606,151.36,40.55,166.21,133.0,-236.0,315.0,9372,182.88,-31.32,249.22,111.0,-229.0,369.0,9181,184.14,-73.22,286.1,46.0,-182.0,372.0,9241,162.91,1.27,208.73,125.0,-246.0,384.0,9183,0.9326630103595368
57,177.32,-24.18,253.7,139.0,-194.0,390.0,17288,188.37,-40.61,264.89,123.0,-201.0,380.0,16480,187.79,25.27,231.55,150.0,-212.0,381.0,17424,191.29,-32.86,275.26,115.0,-222.0,393.0,17113,190.74,-48.86,279.84,60.0,-215.0,385.0,16268,182.35,-1.9,248.74,125.0,-240.0,412.0,16585,0.9593359555761222
58,171.87,-53.37,269.89,80.0,-246.0,374.0,11475,171.01,-42.34,243.06,116.0,-236.0,365.0,11105,160.56,51.65,187.69,139.0,-244.0,327.0,10894,180.0,-20.06,249.46,141.0,-233.0,387.0,11215,182.83,-78.88,287.96,37.0,-194.0,368.0,10656,168.84,13.98,221.66,125.0,-246.0,393.0,10985,0.9572984749455338
59,176.92,-37.17,281.85,103.0,-232.0,408.0,9868,168.44,2.08,215.86,147.0,-246.0,356.0,10070,162.38,44.51,185.67,136.0,-153.0,396.0,9548,171.81,-10.05,248.29,144.0,-187.0,413.0,9550,186.87,-41.64,289.96,66.0,-200.0,401.0,9184,177.33,-10.31,256.23,113.0,-243.0,428.0,9925,1.005776246453182
60,184.75,-53.37,272.71,108.0,-221.0,381.0,9334,153.57,9.77,183.07,140.0,-243.0,343.0,9592,154.35,31.61,160.57,149.0,-220.0,382.0,9398,147.74,31.31,171.75,133.0,-212.0,407.0,9067,181.65,8.47,240.15,124.0,-177.0,386.0,9587,186.25,0.21,235.77,145.0,-215.0,380.0,9677,1.0367473751874865
61,178.04,-59.78,264.96,92.0,-235.0,385.0,12360,163.48,-47.09,227.47,72.0,-241.0,358.0,11889,173.79,3.86,219.94,110.0,-246.0,347.0,12019,179.02,-37.56,249.26,82.0,-200.0,371.0,11961,174.0,-43.51,251.07,62.0,-242.0,387.0,12304,169.82,-33.64,238.94,90.0,-223.0,381.0,12353,0.9994336569579289
62,168.71,-21.67,235.45,105.0,-246.0,368.0,11900,160.62,-38.4,244.28,82.0,-239.0,378.0,11702,163.72,23.27,203.43,126.0,-247.0,328.0,10940,164.09,-20.1,244.34,96.0,-243.0,394.0,10980,175.13,-37.6,273.96,93.0,-240.0,396.0,11801,172.63,-30.63,252.53,82.0,-215.0,402.0,11817,0.9930252100840335
63,177.48,-49.98,271.66,88.0,-212.0,393.0,9333,159.11,-11.11,204.33,102.0,-246.0,351.0,9414,156.98,31.04,184.96,124.0,-245.0,308.0,9023,173.46,-21.02,248.12,99.0,-188.0,402.0,8803,187.69,-46.21,282.67,57.0,-243.0,392.0,9273,182.91,-35.01,251.25,86.0,-208.0,373.0,8818,0.94481945783778
64,181.87,-72.72,287.96,62.0,-217.0,371.0,11353,159.62,-5.12,200.96,137.0,-233.0,370.0,11158,156.52,37.64,180.2,144.0,-185.0,403.0,10976,185.53,-54.67,272.59,113.0,-178.0,371.0,11338,178.83,-53.91,262.47,76.0,-204.0,378.0,11586,153.82,13.65,191.45,127.0,-246.0,390.0,10773,0.9489121818021669
